,date,time,latitude,longitude,deepness,md,ml,mw,place
5,Tarih     ,Saat    ,Enlem(N),Boylam(,lik(,MD ,Mw ,ML ,Yer                                             Ç
6,----------,--------,--------,-------,----,---,-- ,---,--------------                                  -
104,2023.03.31,03:41:50,37.3018 ,37.0022,2.2 ,-.-,-.-,0.6,CENNETPINARI-PAZARCIK (KAHRAMANMARAS)
105,2023.03.31,03:34:51,38.2852 ,37.7057,7.8 ,-.-,-.-,1.2,HARUNUSAGI-AKCADAG (MALATYA)
106,2023.03.31,03:24:29,37.9082 ,36.1993,4.3 ,-.-,-.-,1.4,AKSAAGAC-SAIMBEYLI (ADANA)
107,2023.03.31,03:15:17,37.2488 ,36.3485,1.6 ,-.-,-.-,1.6,ATALAN-DUZICI (OSMANIYE)
108,2023.03.31,03:13:01,37.9592 ,36.4438,5.0 ,-.-,-.-,2.8,FINDIKLIKOYAK-GOKSUN (KAHRAMANMARAS)
109,2023.03.31,02:49:02,38.1285 ,38.6030,5.0 ,-.-,-.-,1.9,TEKEDERESI-PUTURGE (MALATYA)
110,2023.03.31,02:48:02,38.3417 ,38.2128,3.3 ,-.-,-.-,1.7,TOPSOGUT-(MALATYA)
111,2023.03.31,02:45:32,38.5077 ,40.3878,5.0 ,-.-,-.-,2.7,KALEDIBI-HANI (DIYARBAKIR)
112,2023.03.31,02:34:21,38.1585 ,38.5397,5.4 ,-.-,-.-,2.0,ULUKOY-(MALATYA)
113,2023.03.31,02:33:28,38.1647 ,37.8432,8.4 ,-.-,-.-,1.9,POLAT-DOGANSEHIR (MALATYA)
114,2023.03.31,02:30:09,37.9288 ,37.8758,8.2 ,-.-,-.-,1.8,KARANLIKDERE-DOGANSEHIR (MALATYA)
115,2023.03.31,02:27:16,38.1673 ,37.9103,5.0 ,-.-,3.6,3.6,POLATDERESI-DOGANSEHIR (MALATYA)
116,2023.03.31,02:13:09,37.0727 ,30.4430,5.0 ,-.-,-.-,1.7,BAYATBADEMLERI-KORKUTELI (ANTALYA)
117,2023.03.31,02:12:19,38.3992 ,37.8722,9.9 ,-.-,-.-,1.4,SARIHACI-AKCADAG (MALATYA)
118,2023.03.31,02:11:21,39.4512 ,38.2428,5.4 ,-.-,-.-,2.0,KESME-DIVRIGI (SIVAS)
119,2023.03.31,02:09:09,38.0405 ,36.5148,2.7 ,-.-,-.-,2.5,HACIMIRZA-GOKSUN (KAHRAMANMARAS)
120,2023.03.31,02:08:46,37.7695 ,36.4362,1.0 ,-.-,-.-,2.5,GEBEN-ANDIRIN (KAHRAMANMARAS)
121,2023.03.31,02:05:00,36.4635 ,29.0690,0.2 ,-.-,-.-,2.5,UZUNYURT-FETHIYE (MUGLA)
122,2023.03.31,02:01:40,37.0105 ,30.4112,3.8 ,-.-,-.-,1.6,SOGUTCUK-KORKUTELI (ANTALYA)
123,2023.03.31,02:00:22,38.2807 ,37.2467,5.0 ,-.-,-.-,1.5,KUCUKYAPALAK-ELBISTAN (KAHRAMANMARAS)
124,2023.03.31,01:54:39,36.6297 ,28.8590,6.9 ,-.-,-.-,1.7,FETHIYE KORFEZI (AKDENIZ)
125,2023.03.31,01:53:45,37.6747 ,37.6613,4.5 ,-.-,-.-,1.8,ASAGIKARAKUYU-GOLBASI (ADIYAMAN)
126,2023.03.31,01:37:31,38.3305 ,37.8345,5.0 ,-.-,-.-,1.5,DUMUKLU-AKCADAG (MALATYA)
127,2023.03.31,01:13:49,38.1212 ,36.9735,5.0 ,-.-,-.-,3.1,TOMBAK-GOKSUN (KAHRAMANMARAS)
128,2023.03.31,01:05:46,37.0808 ,27.9722,8.8 ,-.-,-.-,1.0,PINARKOY-MILAS (MUGLA)
129,2023.03.31,01:04:09,37.9185 ,36.2177,5.0 ,-.-,-.-,2.0,AKSAAGAC-SAIMBEYLI (ADANA)
130,2023.03.31,00:51:28,38.2700 ,37.8048,3.0 ,-.-,-.-,1.8,ORTAKOY-AKCADAG (MALATYA)
131,2023.03.31,00:30:54,37.7453 ,36.1195,5.6 ,-.-,-.-,1.9,AYVACIK-SAIMBEYLI (ADANA)
132,2023.03.31,00:25:32,38.1383 ,38.2328,5.0 ,-.-,-.-,2.5,CAMPINAR-CELIKHAN (ADIYAMAN)
133,2023.03.31,00:18:53,38.2632 ,38.1133,2.1 ,-.-,-.-,2.1,GORGU-YESILYURT (MALATYA)
134,2023.03.31,00:18:20,38.2568 ,37.7162,9.3 ,-.-,-.-,2.2,HARUNUSAGI-AKCADAG (MALATYA)
135,2023.03.31,00:15:30,38.1462 ,36.6288,5.4 ,-.-,-.-,1.4,YENIYAPAN-GOKSUN (KAHRAMANMARAS)
136,2023.03.31,00:07:06,37.9138 ,36.2947,8.1 ,-.-,-.-,1.3,HACIKODAL-GOKSUN (KAHRAMANMARAS)
